1,00;1,00;5,00;5,00;1,00;1,00;1,00;2,00;0,00;;2,00;3,00;1,00;5,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;3,00;1,00;2,00;1,00;1,00;0,00;;1,00;2,00;3,00;6,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;3,00;3,00;1,00;2,00;3,00;1,00;0,00;;1,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;6,00;6,00;1,00;3,00;2,00;2,00;0,00;;2,00;2,00;1,00;7,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,00;;2,00;2,00;3,00;6,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;2,00;6,00;1,00;3,00;2,00;1,00;0,00;;2,00;1,00;1,00;6,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
3,00;4,00;2,00;1,00;1,00;2,00;1,00;1,00;5,00;;1,00;2,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;3,00;5,00;1,00;2,00;1,00;2,00;5,00;;1,00;2,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;2,00;1,00;3,00;1,00;2,00;5,00;;1,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;1,00;4,00;4,00;3,00;2,00;2,00;2,00;10,00;;2,00;1,00;3,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;6,00;6,00;1,00;2,00;2,00;2,00;35,00;;2,00;1,00;4,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;5,00;1,00;2,00;1,00;2,00;20,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;3,00;1,00;3,00;2,00;2,00;0,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;4,00;1,00;2,00;1,00;1,00;10,00;;1,00;1,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;1,00;2,00;1,00;2,00;2,00;2,00;0,00;;1,00;2,00;1,00;4,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;3,00;1,00;2,00;2,00;#NUL!;0,00;;#NUL!;#NUL!;#NUL!;#NUL!;#NUL!;#NUL!;0,00;0,00;1,00;0,00;0,00;#NUL!
2,00;7,00;6,00;5,00;2,00;2,00;2,00;1,00;5,00;;1,00;2,00;3,00;7,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;5,00;5,00;3,00;1,00;1,00;1,00;2,00;25,00;;1,00;1,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;4,00;2,00;1,00;1,00;2,00;2,00;0,00;;2,00;1,00;3,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;1,00;5,00;5,00;2,00;2,00;1,00;1,00;0,00;;1,00;2,00;3,00;7,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;5,00;2,00;3,00;3,00;2,00;1,00;0,00;;3,00;2,00;1,00;4,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;6,00;4,00;1,00;2,00;2,00;1,00;0,00;;1,00;2,00;5,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;2,00;3,00;4,00;2,00;2,00;2,00;1,00;0,00;;1,00;1,00;4,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;3,00;6,00;1,00;3,00;2,00;2,00;20,00;;2,00;1,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;1,00;6,00;6,00;1,00;1,00;2,00;2,00;3,00;;1,00;2,00;4,00;6,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;2,00;1,00;1,00;2,00;2,00;5,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;1,00;3,00;1,00;3,00;2,00;2,00;20,00;;2,00;1,00;2,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
5,00;1,00;6,00;6,00;1,00;1,00;1,00;2,00;2,00;;2,00;2,00;3,00;3,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;5,00;1,00;3,00;1,00;2,00;0,00;;2,00;1,00;4,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;4,00;4,00;1,00;2,00;3,00;1,00;25,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;2,00;4,00;1,00;3,00;1,00;2,00;0,00;;2,00;2,00;3,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;7,00;6,00;6,00;1,00;2,00;2,00;1,00;10,00;;1,00;2,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;4,00;5,00;1,00;2,00;1,00;2,00;0,00;;1,00;1,00;3,00;2,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;3,00;1,00;2,00;3,00;1,00;40,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;2,00;4,00;1,00;3,00;1,00;2,00;0,00;;1,00;1,00;1,00;7,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
2,00;1,00;2,00;4,00;1,00;2,00;2,00;1,00;0,00;;1,00;2,00;4,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;7,00;4,00;5,00;1,00;3,00;2,00;1,00;0,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
5,00;7,00;6,00;6,00;1,00;3,00;2,00;1,00;0,00;;2,00;2,00;3,00;7,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;4,00;4,00;1,00;2,00;2,00;1,00;5,00;;1,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;2,00;2,00;1,00;3,00;1,00;2,00;0,00;;2,00;2,00;3,00;7,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;4,00;1,00;3,00;3,00;1,00;6,00;;2,00;2,00;4,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;3,00;4,00;1,00;3,00;3,00;2,00;50,00;;2,00;1,00;3,00;5,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;7,00;3,00;4,00;1,00;2,00;1,00;2,00;0,00;;2,00;1,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
3,00;3,00;2,00;1,00;2,00;2,00;2,00;1,00;0,00;;1,00;2,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;5,00;5,00;1,00;2,00;2,00;1,00;5,00;;1,00;2,00;3,00;7,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;4,00;3,00;1,00;2,00;1,00;2,00;17,50;;2,00;1,00;3,00;3,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;5,00;1,00;2,00;1,00;2,00;0,00;;1,00;2,00;3,00;4,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;4,00;1,00;2,00;2,00;1,00;0,00;;3,00;5,00;6,00;8,00;3,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;4,00;4,00;1,00;2,00;2,00;1,00;2,00;;1,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2,00;1,00;3,00;2,00;1,00;2,00;2,00;2,00;20,00;;2,00;2,00;3,00;6,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;4,00;5,00;1,00;2,00;3,00;2,00;0,00;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;2,00;3,00;5,00;2,00;2,00;1,00;1,00;1,50;;1,00;2,00;1,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
1,00;1,00;3,00;3,00;1,00;2,00;2,00;2,00;1,50;;2,00;1,00;3,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;5,00;2,00;4,00;1,00;2,00;2,00;2,00;1,50;;1,00;1,00;1,00;5,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;4,00;1,00;2,00;2,00;2,00;5,00;;1,00;2,00;3,00;5,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;2,00;4,00;1,00;3,00;1,00;2,00;0,00;;2,00;1,00;1,00;3,00;3,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;6,00;6,00;1,00;2,00;1,00;2,00;4,00;;#NUL!;#NUL!;#NUL!;#NUL!;#NUL!;#NUL!;0,00;0,00;1,00;0,00;0,00;1,00
3,00;4,00;2,00;4,00;1,00;3,00;1,00;2,00;5,00;;2,00;1,00;1,00;3,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;4,00;1,00;3,00;2,00;2,00;5,00;;2,00;3,00;1,00;4,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
1,00;1,00;3,00;4,00;1,00;2,00;2,00;2,00;0,00;;2,00;2,00;3,00;6,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00
4,00;2,00;3,00;3,00;3,00;2,00;1,00;1,00;#NUL!;;1,00;2,00;1,00;6,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
